gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/15 09:54:52.412, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:54:52.413, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:54:52.413, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:54:52.414, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:54:53.414, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:54:53.414, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:54:53.415, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:54:53.415, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/15 09:54:54.415, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:54:54.415, 0, 1, 40960, 59.58, 29, 1095
2, 2025/05/15 09:54:54.415, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:54:54.416, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:54:55.416, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:54:55.416, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:54:55.416, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:54:55.416, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:54:56.417, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:54:56.417, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:54:56.417, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:54:56.417, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/15 09:54:57.417, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:54:57.418, 0, 1, 40960, 59.58, 29, 1095
2, 2025/05/15 09:54:57.418, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:54:57.418, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/15 09:54:58.418, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:54:58.419, 0, 1, 40960, 59.18, 29, 1095
2, 2025/05/15 09:54:58.419, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:54:58.419, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:54:59.419, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:54:59.420, 0, 1, 40960, 59.51, 29, 1095
2, 2025/05/15 09:54:59.420, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/15 09:54:59.420, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:00.421, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:00.421, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:55:00.421, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/15 09:55:00.421, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:01.421, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:01.422, 0, 1, 40960, 59.58, 29, 1095
2, 2025/05/15 09:55:01.422, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/15 09:55:01.422, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:02.422, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:02.423, 0, 1, 40960, 59.58, 29, 1095
2, 2025/05/15 09:55:02.423, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:55:02.423, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:03.424, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:03.424, 0, 1, 40960, 59.58, 29, 1095
2, 2025/05/15 09:55:03.424, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:55:03.425, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/15 09:55:04.425, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:04.425, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:55:04.425, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:55:04.426, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:05.426, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:05.426, 0, 1, 40960, 58.91, 29, 1095
2, 2025/05/15 09:55:05.427, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:55:05.427, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:06.427, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:06.428, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:55:06.428, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:55:06.428, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:07.428, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:07.429, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:55:07.429, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/15 09:55:07.429, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:08.429, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:08.430, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:55:08.430, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:55:08.430, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:09.430, 0, 1, 40960, 61.71, 30, 1095
1, 2025/05/15 09:55:09.431, 0, 1, 40960, 59.18, 29, 1095
2, 2025/05/15 09:55:09.431, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:55:09.431, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:10.432, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:10.432, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:55:10.432, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:55:10.432, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:55:11.433, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:11.433, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 09:55:11.433, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 09:55:11.433, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/15 09:55:12.433, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 09:55:12.434, 0, 1, 40960, 58.97, 29, 1095
